dataset,pruning,seed,epsilon,result
JPL,prune0.8,60,0.0008,51
JPL,prune0.8,70,0.0008,50
JPL,prune0.8,80,0.0008,48
JPL,prune0.8,90,0.0008,53
JPL,baseline,10,0.0009,35
JPL,baseline,100,0.0009,26
JPL,baseline,20,0.0009,31
JPL,baseline,30,0.0009,53
JPL,baseline,40,0.0009,41
JPL,baseline,50,0.0009,21
JPL,baseline,60,0.0009,53
JPL,baseline,70,0.0009,32
JPL,baseline,80,0.0009,48
JPL,baseline,90,0.0009,51
JPL,prune0.1,10,0.0009,24
JPL,prune0.1,100,0.0009,15
JPL,prune0.1,20,0.0009,18
JPL,prune0.1,30,0.0009,29
JPL,prune0.1,40,0.0009,41
JPL,prune0.1,50,0.0009,30
JPL,prune0.1,60,0.0009,50
JPL,prune0.1,70,0.0009,45
JPL,prune0.1,80,0.0009,51
JPL,prune0.1,90,0.0009,45
JPL,prune0.2,10,0.0009,15
JPL,prune0.2,100,0.0009,46
JPL,prune0.2,20,0.0009,18
JPL,prune0.2,30,0.0009,29
JPL,prune0.2,40,0.0009,40
JPL,prune0.2,50,0.0009,29
JPL,prune0.2,60,0.0009,47
JPL,prune0.2,70,0.0009,46
JPL,prune0.2,80,0.0009,50
JPL,prune0.2,90,0.0009,45
JPL,prune0.3,10,0.0009,18
JPL,prune0.3,100,0.0009,46
JPL,prune0.3,20,0.0009,18
JPL,prune0.3,30,0.0009,33
JPL,prune0.3,40,0.0009,40
JPL,prune0.3,50,0.0009,13
JPL,prune0.3,60,0.0009,47
JPL,prune0.3,70,0.0009,47
JPL,prune0.3,80,0.0009,51
JPL,prune0.3,90,0.0009,45
JPL,prune0.4,10,0.0009,20
JPL,prune0.4,100,0.0009,21
JPL,prune0.4,20,0.0009,20
JPL,prune0.4,30,0.0009,49
JPL,prune0.4,40,0.0009,41
JPL,prune0.4,50,0.0009,14
JPL,prune0.4,60,0.0009,48
JPL,prune0.4,70,0.0009,48
JPL,prune0.4,80,0.0009,50
JPL,prune0.4,90,0.0009,45
JPL,prune0.5,10,0.0009,21
JPL,prune0.5,100,0.0009,24
JPL,prune0.5,20,0.0009,14
JPL,prune0.5,30,0.0009,53
JPL,prune0.5,40,0.0009,43
JPL,prune0.5,50,0.0009,16
JPL,prune0.5,60,0.0009,48
JPL,prune0.5,70,0.0009,26
JPL,prune0.5,80,0.0009,49
JPL,prune0.5,90,0.0009,45
JPL,prune0.6,10,0.0009,30
JPL,prune0.6,100,0.0009,31
JPL,prune0.6,20,0.0009,16
JPL,prune0.6,30,0.0009,51
JPL,prune0.6,40,0.0009,44
JPL,prune0.6,50,0.0009,22
JPL,prune0.6,60,0.0009,50
JPL,prune0.6,70,0.0009,47
JPL,prune0.6,80,0.0009,50
JPL,prune0.6,90,0.0009,48
JPL,prune0.7,10,0.0009,36
JPL,prune0.7,100,0.0009,30
JPL,prune0.7,20,0.0009,33
JPL,prune0.7,30,0.0009,50
JPL,prune0.7,40,0.0009,43
JPL,prune0.7,50,0.0009,23
JPL,prune0.7,60,0.0009,49
JPL,prune0.7,70,0.0009,43
JPL,prune0.7,80,0.0009,42
JPL,prune0.7,90,0.0009,42
JPL,prune0.8,10,0.0009,22
JPL,prune0.8,100,0.0009,29
JPL,prune0.8,20,0.0009,25
JPL,prune0.8,30,0.0009,52
JPL,prune0.8,40,0.0009,40
JPL,prune0.8,50,0.0009,40
JPL,prune0.8,60,0.0009,43
JPL,prune0.8,70,0.0009,39
JPL,prune0.8,80,0.0009,41
JPL,prune0.8,90,0.0009,48
MNIST,baseline,10,0.006,97
MNIST,baseline,100,0.006,82
MNIST,baseline,20,0.006,93
MNIST,baseline,30,0.006,93
MNIST,baseline,40,0.006,92
MNIST,baseline,50,0.006,28
MNIST,baseline,60,0.006,96
MNIST,baseline,70,0.006,85
MNIST,baseline,80,0.006,56
MNIST,baseline,90,0.006,94
MNIST,prune0.1,10,0.006,96
MNIST,prune0.1,100,0.006,96
MNIST,prune0.1,20,0.006,52
MNIST,prune0.1,30,0.006,88
MNIST,prune0.1,40,0.006,89
MNIST,prune0.1,50,0.006,70
MNIST,prune0.1,60,0.006,93
MNIST,prune0.1,70,0.006,43
MNIST,prune0.1,80,0.006,55
MNIST,prune0.1,90,0.006,88
MNIST,prune0.2,10,0.006,96
MNIST,prune0.2,100,0.006,82
MNIST,prune0.2,20,0.006,50
MNIST,prune0.2,30,0.006,82
MNIST,prune0.2,40,0.006,91
MNIST,prune0.2,50,0.006,68
MNIST,prune0.2,60,0.006,92
MNIST,prune0.2,70,0.006,44
MNIST,prune0.2,80,0.006,54
MNIST,prune0.2,90,0.006,91
MNIST,prune0.3,10,0.006,95
MNIST,prune0.3,100,0.006,90
MNIST,prune0.3,20,0.006,75
MNIST,prune0.3,30,0.006,93
MNIST,prune0.3,40,0.006,92
MNIST,prune0.3,50,0.006,73
MNIST,prune0.3,60,0.006,96
MNIST,prune0.3,70,0.006,55
MNIST,prune0.3,80,0.006,60
MNIST,prune0.3,90,0.006,94
MNIST,prune0.4,10,0.006,95
MNIST,prune0.4,100,0.006,93
MNIST,prune0.4,20,0.006,77
MNIST,prune0.4,30,0.006,89
MNIST,prune0.4,40,0.006,92
MNIST,prune0.4,50,0.006,63
MNIST,prune0.4,60,0.006,99
MNIST,prune0.4,70,0.006,84
MNIST,prune0.4,80,0.006,60
MNIST,prune0.4,90,0.006,92
MNIST,prune0.5,10,0.006,95
MNIST,prune0.5,100,0.006,91
MNIST,prune0.5,20,0.006,80
MNIST,prune0.5,30,0.006,93
MNIST,prune0.5,40,0.006,93
MNIST,prune0.5,50,0.006,67
MNIST,prune0.5,60,0.006,98
MNIST,prune0.5,70,0.006,83
MNIST,prune0.5,80,0.006,57
MNIST,prune0.5,90,0.006,88
MNIST,prune0.6,10,0.006,95
MNIST,prune0.6,100,0.006,84
MNIST,prune0.6,20,0.006,86
MNIST,prune0.6,30,0.006,90
MNIST,prune0.6,40,0.006,53
MNIST,prune0.6,50,0.006,62
MNIST,prune0.6,60,0.006,92
MNIST,prune0.6,70,0.006,49
MNIST,prune0.6,80,0.006,54
MNIST,prune0.6,90,0.006,90
MNIST,prune0.7,10,0.006,85
MNIST,prune0.7,100,0.006,59
MNIST,prune0.7,20,0.006,73
MNIST,prune0.7,30,0.006,90
MNIST,prune0.7,40,0.006,61
MNIST,prune0.7,50,0.006,57
MNIST,prune0.7,60,0.006,95
MNIST,prune0.7,70,0.006,36
MNIST,prune0.7,80,0.006,37
MNIST,prune0.7,90,0.006,66
MNIST,prune0.8,10,0.006,64
MNIST,prune0.8,100,0.006,67
MNIST,prune0.8,20,0.006,34
MNIST,prune0.8,30,0.006,53
MNIST,prune0.8,40,0.006,39
MNIST,prune0.8,50,0.006,44
MNIST,prune0.8,60,0.006,72
MNIST,prune0.8,70,0.006,24
MNIST,prune0.8,80,0.006,71
MNIST,prune0.8,90,0.006,44
MNIST,baseline,10,0.007,90
MNIST,baseline,100,0.007,46
MNIST,baseline,20,0.007,67
MNIST,baseline,30,0.007,77
MNIST,baseline,40,0.007,62
MNIST,baseline,50,0.007,7
MNIST,baseline,60,0.007,75
MNIST,baseline,70,0.007,40
MNIST,baseline,80,0.007,7
MNIST,baseline,90,0.007,72
MNIST,prune0.1,10,0.007,88
MNIST,prune0.1,100,0.007,64
MNIST,prune0.1,20,0.007,12
MNIST,prune0.1,30,0.007,53
MNIST,prune0.1,40,0.007,49
MNIST,prune0.1,50,0.007,41
MNIST,prune0.1,60,0.007,83
MNIST,prune0.1,70,0.007,3
MNIST,prune0.1,80,0.007,8
MNIST,prune0.1,90,0.007,47
MNIST,prune0.2,10,0.007,84
MNIST,prune0.2,100,0.007,44
MNIST,prune0.2,20,0.007,11
MNIST,prune0.2,30,0.007,42
MNIST,prune0.2,40,0.007,58
MNIST,prune0.2,50,0.007,37
MNIST,prune0.2,60,0.007,65
MNIST,prune0.2,70,0.007,3
MNIST,prune0.2,80,0.007,10
MNIST,prune0.2,90,0.007,62
MNIST,prune0.3,10,0.007,86
MNIST,prune0.3,100,0.007,52
MNIST,prune0.3,20,0.007,42
MNIST,prune0.3,30,0.007,84
MNIST,prune0.3,40,0.007,68
MNIST,prune0.3,50,0.007,41
MNIST,prune0.3,60,0.007,82
MNIST,prune0.3,70,0.007,9
MNIST,prune0.3,80,0.007,8
MNIST,prune0.3,90,0.007,65
MNIST,prune0.4,10,0.007,84
MNIST,prune0.4,100,0.007,88
MNIST,prune0.4,20,0.007,48
MNIST,prune0.4,30,0.007,64
MNIST,prune0.4,40,0.007,70
MNIST,prune0.4,50,0.007,28
MNIST,prune0.4,60,0.007,97
MNIST,prune0.4,70,0.007,39
MNIST,prune0.4,80,0.007,14
MNIST,prune0.4,90,0.007,65
